network,station,channel,starttime,endtime,gaps
NP,WLNG,BNY,2023-04-20T23:31:53.637218Z,2023-04-20T23:50:18.946550Z,1105.309
NP,WLNG,BNY,2023-04-21T00:43:27.589218Z,2023-04-21T00:43:28.613218Z,1.024
NP,WLNG,BNY,2023-04-21T01:55:03.778152Z,2023-04-21T02:01:08.704442Z,364.926
NP,WLNG,BNY,2023-04-21T02:01:08.716553Z,2023-04-21T01:55:02.754152Z,-365.962
NP,WLNG,BNY,2023-04-21T02:41:19.204367Z,2023-04-21T02:41:18.168473Z,-1.036
NP,WLNG,BNY,2023-04-21T02:51:23.352473Z,2023-04-21T02:51:22.318471Z,-1.034
NP,WLNG,BNY,2023-04-21T03:06:37.730152Z,2023-04-21T03:06:38.754152Z,1.024
NP,WLNG,BNY,2023-04-21T03:26:06.118480Z,2023-04-21T03:51:46.056547Z,1539.938
NP,WLNG,BNY,2023-04-21T04:18:13.985090Z,2023-04-21T04:21:53.364488Z,219.379
NP,WLNG,BNY,2023-04-21T04:21:53.376514Z,2023-04-21T04:18:12.961090Z,-220.415
NP,WLNG,BNY,2023-04-21T05:29:47.937090Z,2023-04-21T05:29:48.961090Z,1.024
NP,WLNG,BNY,2023-04-21T05:51:40.644496Z,2023-04-21T06:34:30.163289Z,2569.519
NP,WLNG,BNY,2023-04-21T06:34:31.187289Z,2023-04-21T06:34:31.507289Z,0.32
NP,WLNG,BNY,2023-04-21T07:01:55.036476Z,2023-04-21T07:21:11.752509Z,1156.716
NP,WLNG,BNY,2023-04-21T07:32:53.152376Z,2023-04-21T07:42:57.304513Z,604.152
NP,WLNG,BNY,2023-04-21T07:53:01.432513Z,2023-04-21T08:03:05.550463Z,604.118
NP,WLNG,BNY,2023-04-21T08:14:15.214523Z,2023-04-21T08:16:45.657207Z,150.443
NP,WLNG,BNY,2023-04-21T08:16:46.681207Z,2023-04-21T08:25:15.599249Z,508.918
NP,WLNG,BNY,2023-04-21T08:25:16.623249Z,2023-04-21T08:25:16.879249Z,0.256
NP,WLNG,BNY,2023-04-21T09:28:20.633207Z,2023-04-21T09:28:21.657207Z,1.024
NP,WLNG,BNY,2023-04-21T10:39:56.809210Z,2023-04-21T10:44:07.154542Z,250.345
NP,WLNG,BNY,2023-04-21T10:44:07.164539Z,2023-04-21T10:39:55.785210Z,-251.379
NP,WLNG,BNY,2023-04-21T10:48:04.722542Z,2023-04-21T11:13:41.917168Z,1537.195
NP,WLNG,BNY,2023-04-21T11:13:42.941168Z,2023-04-21T11:13:43.645168Z,0.704
NP,WLNG,BNY,2023-04-21T11:51:30.761210Z,2023-04-21T11:51:31.785210Z,1.024
NP,WLNG,BNY,2023-04-21T13:03:07.039276Z,2023-04-21T13:04:41.614513Z,94.575
NP,WLNG,BNY,2023-04-21T13:04:41.630532Z,2023-04-21T13:03:06.015276Z,-95.615
NP,WLNG,BNY,2023-04-21T14:14:40.991276Z,2023-04-21T14:14:40.668258Z,-0.323
NP,WLNG,BNY,2023-04-21T14:14:41.692258Z,2023-04-21T14:14:42.015276Z,0.323
NP,WLNG,BNY,2023-04-21T15:26:15.644258Z,2023-04-21T15:26:16.668258Z,1.024
NP,WLNG,BNY,2023-04-21T17:49:26.790394Z,2023-04-21T17:56:24.908505Z,418.118
NP,WLNG,BNY,2023-04-21T17:56:24.914504Z,2023-04-21T17:49:25.766394Z,-419.148
NP,WLNG,BNY,2023-04-21T18:56:48.837565Z,2023-04-21T18:56:47.814394Z,-1.023
NP,WLNG,BNY,2023-04-21T19:01:00.742394Z,2023-04-21T19:01:00.907186Z,0.165
NP,WLNG,BNY,2023-04-21T19:01:01.931186Z,2023-04-21T19:01:01.766394Z,-0.165
NP,WLNG,BNY,2023-04-21T19:18:53.870542Z,2023-04-21T19:38:09.812327Z,1155.942
NP,WLNG,BNY,2023-04-21T19:38:10.836327Z,2023-04-21T19:38:11.540327Z,0.704
NP,WLNG,BNY,2023-04-21T20:12:35.883186Z,2023-04-21T20:12:35.607216Z,-0.276
NP,WLNG,BNY,2023-04-21T20:12:36.631216Z,2023-04-21T20:12:36.907186Z,0.276
NP,WLNG,BNY,2023-04-21T21:24:10.583216Z,2023-04-21T21:24:11.607216Z,1.024
NP,WLNG,BNY,2023-04-21T22:35:46.910218Z,2023-04-21T22:38:08.688512Z,141.778
NP,WLNG,BNY,2023-04-21T22:38:08.696487Z,2023-04-21T22:35:45.886218Z,-142.81
NP,WLNG,BNY,2023-04-21T23:03:54.913521Z,2023-04-21T23:29:31.841320Z,1536.928
NP,WLNG,BNY,2023-04-21T23:29:32.865320Z,2023-04-21T23:29:33.793320Z,0.928
NP,WLNG,BNY,2023-04-21T23:47:20.862218Z,2023-04-21T23:47:21.886218Z,1.024
NP,WLNG,BNY,2023-04-22T03:22:06.769180Z,2023-04-22T03:29:59.140507Z,472.371
NP,WLNG,BNY,2023-04-22T03:29:59.136485Z,2023-04-22T03:22:05.745180Z,-473.391
NP,WLNG,BNY,2023-04-22T04:33:40.721180Z,2023-04-22T04:33:41.745180Z,1.024
NP,WLNG,BNY,2023-04-22T05:45:17.040234Z,2023-04-22T05:50:54.280526Z,337.24
NP,WLNG,BNY,2023-04-22T05:50:54.288510Z,2023-04-22T05:45:16.016234Z,-338.272
NP,WLNG,BNY,2023-04-22T06:56:50.992234Z,2023-04-22T06:56:52.016234Z,1.024
NP,WLNG,BNY,2023-04-22T09:20:01.909225Z,2023-04-22T09:22:17.474516Z,135.565
NP,WLNG,BNY,2023-04-22T09:22:17.482531Z,2023-04-22T09:20:00.885225Z,-136.597
NP,WLNG,BNY,2023-04-22T10:31:35.861225Z,2023-04-22T10:31:36.885225Z,1.024
NP,WLNG,BNY,2023-04-22T11:04:02.446485Z,2023-04-22T11:29:41.901254Z,1539.455
NP,WLNG,BNY,2023-04-22T11:29:42.925254Z,2023-04-22T11:29:43.501254Z,0.576
NP,WLNG,BNY,2023-04-22T15:11:33.284467Z,2023-04-22T22:37:02.420698Z,26729.136
NP,WLNG,BNY,2023-04-22T22:45:36.430572Z,2023-04-22T23:13:18.798572Z,1662.368
NP,WLNG,BNY,2023-04-22T23:32:42.535189Z,2023-04-22T23:36:25.248542Z,222.713
NP,WLNG,BNY,2023-04-22T23:36:25.256582Z,2023-04-22T23:32:41.511189Z,-223.745
NP,WLNG,BNY,2023-04-23T00:44:16.487189Z,2023-04-23T00:44:17.061203Z,0.574
NP,WLNG,BNY,2023-04-23T00:44:18.085203Z,2023-04-23T00:44:17.511189Z,-0.574
NP,WLNG,BNY,2023-04-23T01:55:52.037203Z,2023-04-23T01:55:53.061203Z,1.024
NP,WLNG,BNY,2023-04-23T02:50:53.216408Z,2023-04-23T04:42:13.209000Z,6679.993
NP,WLNG,BNY,2023-04-23T04:42:54.176742Z,2023-04-23T04:43:03.047710Z,8.871
NP,WLNG,BNY,2023-04-23T07:19:13.080065Z,2023-04-23T07:19:39.273613Z,26.194
NP,WLNG,BNY,2023-04-23T07:19:40.305871Z,2023-04-23T07:19:40.725226Z,0.419
NP,WLNG,BNY,2023-04-23T09:22:42.880871Z,2023-04-23T09:23:08.848613Z,25.968
NP,WLNG,BNY,2023-04-23T09:23:09.880871Z,2023-04-23T09:23:15.493774Z,5.613
NP,WLNG,BNY,2023-04-23T09:23:16.526032Z,2023-04-23T09:23:22.493774Z,5.968
NP,WLNG,BNY,2023-04-23T09:23:23.526032Z,2023-04-23T09:23:29.493774Z,5.968
NP,WLNG,BNY,2023-04-23T09:23:30.526032Z,2023-04-23T09:23:36.493774Z,5.968
NP,WLNG,BNY,2023-04-23T09:23:37.526032Z,2023-04-23T09:23:43.493774Z,5.968
NP,WLNG,BNY,2023-04-23T09:23:44.526032Z,2023-04-23T09:23:50.493774Z,5.968
NP,WLNG,BNY,2023-04-23T09:23:51.526032Z,2023-04-23T09:23:57.493774Z,5.968
NP,WLNG,BNY,2023-04-23T09:23:58.526032Z,2023-04-23T09:24:09.397000Z,10.871
NP,WLNG,BNY,2023-04-23T09:24:15.558290Z,2023-04-23T09:24:42.751839Z,27.194
NP,WLNG,BNY,2023-04-23T09:24:43.784097Z,2023-04-23T09:24:52.751839Z,8.968
NP,WLNG,BNY,2023-04-23T09:24:53.784097Z,2023-04-23T09:25:11.655065Z,17.871
NP,WLNG,BNY,2023-04-23T09:25:12.687323Z,2023-04-23T09:25:30.687323Z,18.0
NP,WLNG,BNY,2023-04-23T09:25:31.719581Z,2023-04-23T09:25:49.687323Z,17.968
NP,WLNG,BNY,2023-04-23T09:25:50.719581Z,2023-04-23T09:26:08.719581Z,18.0
NP,WLNG,BNY,2023-04-23T09:26:09.751839Z,2023-04-23T09:26:27.719581Z,17.968
NP,WLNG,BNY,2023-04-23T09:26:28.751839Z,2023-04-23T09:26:46.751839Z,18.0
NP,WLNG,BNY,2023-04-23T09:26:47.784097Z,2023-04-23T09:27:05.751839Z,17.968
NP,WLNG,BNY,2023-04-23T09:27:06.784097Z,2023-04-23T09:27:24.784097Z,18.0
NP,WLNG,BNY,2023-04-23T09:27:25.816355Z,2023-04-23T09:27:37.493774Z,11.677
NP,WLNG,BNY,2023-04-23T09:30:50.022194Z,2023-04-23T09:31:16.183484Z,26.161
NP,WLNG,BNY,2023-04-23T09:31:17.215742Z,2023-04-23T09:31:26.215742Z,9.0
NP,WLNG,BNY,2023-04-23T09:31:27.248000Z,2023-04-23T09:31:33.506065Z,6.258
NP,WLNG,BNY,2023-04-23T09:31:34.538323Z,2023-04-23T09:31:40.506065Z,5.968
NP,WLNG,BNY,2023-04-23T09:31:41.538323Z,2023-04-23T09:31:47.506065Z,5.968
NP,WLNG,BNY,2023-04-23T09:31:48.538323Z,2023-04-23T09:31:54.506065Z,5.968
NP,WLNG,BNY,2023-04-23T09:31:55.538323Z,2023-04-23T09:32:01.506065Z,5.968
NP,WLNG,BNY,2023-04-23T09:32:02.538323Z,2023-04-23T09:32:08.506065Z,5.968
NP,WLNG,BNY,2023-04-23T09:32:09.538323Z,2023-04-23T09:32:15.506065Z,5.968
NP,WLNG,BNY,2023-04-23T09:32:16.538323Z,2023-04-23T09:32:26.022194Z,9.484
NP,WLNG,BNY,2023-04-23T10:40:27.704419Z,2023-04-23T10:42:56.575387Z,148.871
NP,WLNG,BNY,2023-04-23T10:42:57.607645Z,2023-04-23T10:43:16.220548Z,18.613
NP,WLNG,BNY,2023-04-23T10:43:17.252806Z,2023-04-23T10:43:35.220548Z,17.968
NP,WLNG,BNY,2023-04-23T10:43:36.252806Z,2023-04-23T10:43:54.252807Z,18.0
NP,WLNG,BNY,2023-04-23T10:43:55.285065Z,2023-04-23T10:44:13.252807Z,17.968
NP,WLNG,BNY,2023-04-23T10:44:14.285065Z,2023-04-23T10:44:32.285065Z,18.0
NP,WLNG,BNY,2023-04-23T10:44:33.317323Z,2023-04-23T10:44:51.285065Z,17.968
NP,WLNG,BNY,2023-04-23T10:44:52.317323Z,2023-04-23T10:45:10.285065Z,17.968
NP,WLNG,BNY,2023-04-23T10:45:11.317323Z,2023-04-23T10:45:29.317323Z,18.0
NP,WLNG,BNY,2023-04-23T10:45:30.349581Z,2023-04-23T10:45:48.317323Z,17.968
NP,WLNG,BNY,2023-04-23T10:45:49.349581Z,2023-04-23T10:46:07.349581Z,18.0
NP,WLNG,BNY,2023-04-23T10:46:08.381839Z,2023-04-23T10:46:26.349581Z,17.968
NP,WLNG,BNY,2023-04-23T14:54:12.924548Z,2023-04-23T14:54:13.311645Z,0.387
NP,WLNG,BNY,2023-04-23T21:03:09.751548Z,2023-04-23T21:03:08.709000Z,-1.043
NP,WLNG,BNY,2023-04-23T22:46:19.016129Z,2023-04-23T22:46:45.209677Z,26.194
NP,WLNG,BNY,2023-04-23T22:46:46.241935Z,2023-04-23T22:46:55.241935Z,9.0
NP,WLNG,BNY,2023-04-24T10:46:29.423645Z,2023-04-24T10:46:35.584935Z,6.161
NP,WLNG,BNY,2023-04-24T10:46:36.617193Z,2023-04-24T10:46:55.617193Z,19.0
NP,WLNG,BNY,2023-04-24T15:52:41.289258Z,2023-04-24T15:52:41.869903Z,0.581
NP,WLNG,BNY,2023-04-24T16:00:08.386613Z,2023-04-24T16:00:09.386613Z,1.0
NP,WLNG,BNY,2023-04-24T22:46:37.879903Z,2023-04-24T22:47:25.137968Z,47.258
NP,WLNG,BNY,2023-04-25T07:44:02.433065Z,2023-04-25T07:44:01.409000Z,-1.024
NP,WLNG,BNY,2023-04-25T10:46:46.455065Z,2023-04-25T10:46:54.648613Z,8.194
NP,WLNG,BNY,2023-04-25T10:46:55.680871Z,2023-04-25T10:47:04.648613Z,8.968
NP,WLNG,BNY,2023-04-25T11:44:39.913032Z,2023-04-25T11:54:45.139000Z,605.226
NP,WLNG,BNY,2023-04-25T12:19:50.547290Z,2023-04-25T12:19:51.579548Z,1.032
NP,WLNG,BNY,2023-04-25T13:10:46.463839Z,2023-04-25T13:14:03.592871Z,197.129
NP,WLNG,BNY,2023-04-25T14:35:50.992645Z,2023-04-25T14:35:51.573290Z,0.581
NP,WLNG,BNY,2023-04-25T15:30:18.351903Z,2023-04-25T15:30:19.351903Z,1.0
NP,WLNG,BNY,2023-04-25T15:30:27.545451Z,2023-04-25T15:31:00.029323Z,32.484
NP,WLNG,BNY,2023-04-25T15:31:04.126097Z,2023-04-25T15:31:05.158355Z,1.032
NP,WLNG,BNY,2023-04-25T15:31:12.319645Z,2023-04-25T15:31:12.642226Z,0.323
NP,WLNG,BNY,2023-04-25T15:31:13.674484Z,2023-04-25T15:31:14.674484Z,1.0
NP,WLNG,BNY,2023-04-25T15:31:21.868032Z,2023-04-25T15:31:22.158355Z,0.29
NP,WLNG,BNY,2023-04-25T15:31:23.190613Z,2023-04-25T15:31:24.190613Z,1.0
NP,WLNG,BNY,2023-04-25T15:45:29.066290Z,2023-04-25T15:45:45.646935Z,16.581
NP,WLNG,BNY,2023-04-25T22:46:58.671677Z,2023-04-25T22:47:33.865226Z,35.194
NP,WLNG,BNY,2023-04-26T04:19:34.927290Z,2023-04-26T04:19:33.879000Z,-1.048
NP,WLNG,BNY,2023-04-26T10:17:54.387871Z,2023-04-26T10:17:55.936258Z,1.548
NP,WLNG,BNY,2023-04-26T10:17:56.968516Z,2023-04-26T10:17:57.936258Z,0.968
NP,WLNG,BNY,2023-04-26T10:18:14.291097Z,2023-04-26T10:18:15.323355Z,1.032
NP,WLNG,BNY,2023-04-26T10:47:06.999839Z,2023-04-26T10:47:44.225645Z,37.226
NP,WLNG,BNY,2023-04-26T11:26:38.049129Z,2023-04-26T11:26:41.500742Z,3.452
NP,WLNG,BNY,2023-04-26T11:26:49.694290Z,2023-04-26T11:26:50.726548Z,1.032
NP,WLNG,BNY,2023-04-26T11:27:05.049129Z,2023-04-26T11:27:05.533000Z,0.484
NP,WLNG,BNY,2023-04-26T11:27:06.565258Z,2023-04-26T11:27:07.597516Z,1.032
NP,WLNG,BNY,2023-04-26T11:27:32.242677Z,2023-04-26T11:27:33.242677Z,1.0
NP,WLNG,BNY,2023-04-26T12:37:58.530516Z,2023-04-26T12:41:03.995000Z,185.464
NP,WLNG,BNY,2023-04-26T15:50:28.775581Z,2023-04-26T15:50:29.807839Z,1.032
NP,WLNG,BNY,2023-04-26T15:54:27.379677Z,2023-04-26T15:54:28.411936Z,1.032
NP,WLNG,BNY,2023-04-26T22:47:19.167226Z,2023-04-26T22:47:54.328516Z,35.161
NP,WLNG,BNY,2023-04-27T03:35:55.050419Z,2023-04-27T03:36:41.276226Z,46.226
NP,WLNG,BNY,2023-04-27T03:36:42.308484Z,2023-04-27T03:36:47.953645Z,5.645
NP,WLNG,BNY,2023-04-27T03:36:48.985903Z,2023-04-27T03:36:54.953645Z,5.968
NP,WLNG,BNY,2023-04-27T03:36:55.985903Z,2023-04-27T03:37:01.953645Z,5.968
NP,WLNG,BNY,2023-04-27T03:37:09.147193Z,2023-04-27T03:37:46.373000Z,37.226
NP,WLNG,BNY,2023-04-27T03:37:47.405258Z,2023-04-27T03:37:56.373000Z,8.968
NP,WLNG,BNY,2023-04-27T11:03:57.963032Z,2023-04-27T11:03:58.221097Z,0.258
NP,WLNG,BNY,2023-04-27T13:11:00.914645Z,2023-04-27T13:11:01.301742Z,0.387
NP,WLNG,BNY,2023-04-27T13:38:46.357097Z,2023-04-27T13:38:50.099032Z,3.742
NP,WLNG,BNY,2023-04-27T13:51:45.274871Z,2023-04-27T13:51:49.113580Z,3.839
NP,WLNG,BNY,2023-04-27T14:05:51.900290Z,2023-04-27T14:05:52.900290Z,1.0
NP,WLNG,BNY,2023-04-27T14:23:52.257065Z,2023-04-27T14:23:59.386097Z,7.129
NP,WLNG,BNY,2023-04-27T14:43:58.478065Z,2023-04-27T14:43:58.865161Z,0.387
NP,WLNG,BNY,2023-04-27T15:06:36.724194Z,2023-04-27T15:06:37.756452Z,1.032
NP,WLNG,BNY,2023-04-27T15:06:44.917742Z,2023-04-27T15:06:48.401613Z,3.484
NP,WLNG,BNY,2023-04-27T15:08:28.719323Z,2023-04-27T15:08:29.751581Z,1.032
NP,WLNG,BNY,2023-04-27T15:29:55.955065Z,2023-04-27T15:29:56.406677Z,0.452
NP,WLNG,BNY,2023-04-27T15:34:19.567967Z,2023-04-27T15:34:20.600226Z,1.032
NP,WLNG,BNY,2023-04-27T15:35:31.277645Z,2023-04-27T15:35:32.277645Z,1.0
NP,WLNG,BNY,2023-04-27T15:37:17.761516Z,2023-04-27T15:37:44.960000Z,27.198
NP,WLNG,BNY,2023-04-27T15:37:45.992258Z,2023-04-27T15:38:05.024516Z,19.032
NP,WLNG,BNY,2023-04-27T15:38:46.992258Z,2023-04-27T15:38:47.992258Z,1.0
NP,WLNG,BNY,2023-04-27T15:38:49.024516Z,2023-04-27T15:38:59.443871Z,10.419
NP,WLNG,BNY,2023-04-27T15:45:31.669677Z,2023-04-27T15:45:32.669677Z,1.0
NP,WLNG,BNY,2023-04-27T16:05:42.045806Z,2023-04-27T16:05:42.465161Z,0.419
NP,WLNG,BNY,2023-04-27T16:08:53.946161Z,2023-04-27T16:08:54.462291Z,0.516
NP,WLNG,BNY,2023-04-28T03:20:27.674710Z,2023-04-28T03:21:12.966000Z,45.291
NP,WLNG,BNY,2023-04-28T03:22:02.127290Z,2023-04-28T03:22:03.966000Z,1.839
NP,WLNG,BNY,2023-04-28T03:37:28.689645Z,2023-04-28T03:37:55.883193Z,27.194
NP,WLNG,BNY,2023-04-28T03:49:43.524161Z,2023-04-28T03:49:44.169323Z,0.645
